ANO_VENDA;MES_VENDA;PRINCIPIO_ATIVO;DESCRICAO_APRESENTACAO;QTD_VENDIDA
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;2
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;2
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;2
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;3
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;2
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;1
2020;4;ACETATO DE HIDROCORTISONA + SULFATO DE NEOMICINA;POM BUCAL CT BG AL X 10 G;1
2020;4;ACETATO DE HIDROCORTISONA + SULFATO DE NEOMICINA;POM BUCAL CT BG AL X 10 G;1
2020;4;ACETATO DE HIDROCORTISONA + SULFATO DE NEOMICINA;POM BUCAL CT BG AL X 10 G;1
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;1
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;1
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;2
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;1
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;2
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;1
2020;4;ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO;3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;1
