ANO_VENDA;MES_VENDA;PRINCIPIO_ATIVO;DESCRICAO_APRESENTACAO;QTD_VENDIDA
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS OPC X 30;3
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS OPC X 30;190
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS OPC X 30;11
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS OPC X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC OPC X 30;95
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC OPC X 30;12
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC OPC X 30;3
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC OPC X 30;23
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;312
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;5
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;9
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;6
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS PVC TRANS X 30;42
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;131
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;4
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS  X 30;3
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 20;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;14
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2083
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;3
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;53
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;6
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;9
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;36
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;330
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;109
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;33
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;100 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS INC X 30;5
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;2
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;65
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;2
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;2
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS  X 30;3
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 28 ;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 28 ;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;22
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;2
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;1
2021;10;CLORIDRATO DE SERTRALINA;25 MG COM REV CT BL AL PLAS TRANS X 30;1
